plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
151,111.69,29.56,Hunan,Central_South_China,0.146561,-15.314,19.758797
200,111.48,29.11,Hunan,Central_South_China,0.12986,-15.22,19.888657
306,118.3,28.55,Jiangxi,East_China,0.103357,-15.078,19.992014
283,109.15,22.3,Guangxi,Central_South_China,0.108697,-14.791,20.100711
218,120.56,31.78,Jiangsu,East_China,0.128574,-14.738,20.229285
128,110.74,26.93,Hunan,Central_South_China,0.154926,-14.672,20.384211
489,105.64,31.47,Sichuan,Southwest_China,0.084648,-14.533,20.468859
219,114.88,28.19,Jiangxi,East_China,0.123994,-14.402,20.592853
427,105.64,30.17,Chongqing,Southwest_China,0.090808,-14.394,20.683661
338,121.56,41.92,Liaoning,Northeast_China,0.107598,-14.114,20.791259
97,112.46,28.54,Hunan,Central_South_China,0.170521,-13.883,20.96178
410,105.07,29.88,Sichuan,Southwest_China,0.093278,-13.732,21.055058
94,114.74,36.35,Hebei,North_China,0.183138,-13.137,21.238196
255,113.39,31.74,Hubei,Central_South_China,0.12112,-13.115,21.359316
167,112.11,26.89,Hunan,Central_South_China,0.137175,-13.084,21.496491
1,114.03,33.55,Henan,Central_South_China,0.320464,-13,21.816955
387,113.91,36.12,Henan,Central_South_China,0.09486,-12.843,21.911815
467,115.42,26.07,Jiangxi,East_China,0.07947,-12.84,21.991285
282,107.16,30.06,Chongqing,Southwest_China,0.113292,-12.78,22.104577
400,114.88,31.28,Hubei,Central_South_China,0.093723,-12.728,22.1983
368,104.39,29.44,Sichuan,Southwest_China,0.100583,-12.712,22.298883
26,114.95,36.72,Hebei,North_China,0.24066,-12.6,22.539543
355,112.21,32.27,Hubei,Central_South_China,0.099413,-12.58,22.638956
126,111.46,27.16,Hunan,Central_South_China,0.155109,-12.262,22.794065
496,112.77,25.26,Hunan,Central_South_China,0.078011,-11.833,22.872076
472,106.06,31.87,Sichuan,Southwest_China,0.08496,-11.799,22.957036
403,107.4,30.57,Sichuan,Southwest_China,0.092923,-11.457,23.049959
88,111.86,32.29,Hubei,Central_South_China,0.178277,-11.424,23.228236
161,121.14,32.09,Jiangsu,East_China,0.145344,-11.34,23.37358
90,112.18,31.8,Hubei,Central_South_China,0.178064,-10.979,23.551644
371,117.43,34.32,Jiangsu,East_China,0.095991,-10.973,23.647635
330,113.31,27.07,Hunan,Central_South_China,0.10079,-10.962,23.748425
407,108.66,22.33,Guangxi,Central_South_China,0.087473,-10.941,23.835898
