plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
49,115.35,35.67,Henan,Central_South_China,0.218242,6.302,16.037948
421,113.88,29.69,Hubei,Central_South_China,0.091415,6.457,16.129363
334,113.23,30.98,Hubei,Central_South_China,0.104021,6.554,16.233384
12,114.95,34.78,Henan,Central_South_China,0.269141,6.636,16.502525
31,112.32,32.68,Henan,Central_South_China,0.244313,6.646,16.746838
457,113,32.02,Hubei,Central_South_China,0.087098,7.259,16.833936
177,113.89,31.47,Hubei,Central_South_China,0.141646,7.394,16.975582
356,112.39,30.48,Hubei,Central_South_China,0.099491,7.554,17.075073
40,111.91,32.98,Henan,Central_South_China,0.234648,7.609,17.309721
23,112.77,33.01,Henan,Central_South_China,0.248508,7.783,17.558229
9,115.43,34.16,Henan,Central_South_China,0.277733,7.995,17.835962
58,115.42,34.63,Henan,Central_South_China,0.216279,8.002,18.052241
141,112.57,32.12,Hubei,Central_South_China,0.153832,8.081,18.206073
438,112.33,34.9,Henan,Central_South_China,0.091682,8.562,18.297755
51,113.94,33.1,Henan,Central_South_China,0.22018,9.362,18.517935
260,112.03,29.14,Hunan,Central_South_China,0.120956,9.859,18.638891
32,114.51,33.43,Henan,Central_South_China,0.240873,9.866,18.879764
211,112.19,29.65,Hubei,Central_South_China,0.131254,10.243,19.011018
30,114.43,35.1,Henan,Central_South_China,0.240663,12.248,19.251681
2,116.34,34.03,Henan,Central_South_China,0.30411,12.25,19.555791
127,113.2,33.26,Henan,Central_South_China,0.168926,12.434,19.724717
223,113.17,30.24,Hubei,Central_South_China,0.130505,13.114,19.855222
439,114.78,35,Henan,Central_South_China,0.092593,13.508,19.947815
358,114.3,33.13,Henan,Central_South_China,0.104407,13.811,20.052222
63,114.2,32.67,Henan,Central_South_China,0.212583,14.225,20.264805
139,114.34,33.87,Henan,Central_South_China,0.162451,14.305,20.427256
41,115.12,32.78,Henan,Central_South_China,0.235269,14.57,20.662525
396,112.51,31.42,Hubei,Central_South_China,0.095763,15.079,20.758288
146,112.91,30.66,Hubei,Central_South_China,0.156778,15.399,20.915066
304,114.28,32.18,Henan,Central_South_China,0.115068,15.971,21.030134
20,115.93,34.31,Henan,Central_South_China,0.253682,16.246,21.283816
220,112.38,33.11,Henan,Central_South_China,0.133912,16.745,21.417728
16,115.24,33.73,Henan,Central_South_China,0.25827,17.987,21.675998
85,112.76,32.51,Henan,Central_South_China,0.194012,18.727,21.87001
193,114.9,31.99,Henan,Central_South_China,0.13874,19.982,22.00875
80,113.17,32.77,Henan,Central_South_China,0.202075,20.139,22.210825
451,113.82,32.4,Henan,Central_South_China,0.091352,20.588,22.302177
478,115.33,31.85,Henan,Central_South_China,0.085229,20.798,22.387406
495,111.57,33.22,Henan,Central_South_China,0.08658,20.921,22.473986
384,114.62,34.26,Henan,Central_South_China,0.100912,21.642,22.574898
175,112.65,30.15,Hubei,Central_South_China,0.145015,21.743,22.719913
28,114.6,32.9,Henan,Central_South_China,0.250543,22.751,22.970456
426,111.87,32.61,Henan,Central_South_China,0.095499,24.597,23.065955
71,114.86,35.49,Henan,Central_South_China,0.206725,26.246,23.27268
309,111.69,34.6,Henan,Central_South_China,0.114731,29.539,23.387411
455,110.8,34.53,Henan,Central_South_China,0.092932,30.075,23.480343
488,112.76,33.43,Henan,Central_South_China,0.088372,31.084,23.568715
110,114.64,32.42,Henan,Central_South_China,0.182927,34.24,23.751642
